employee_id_hash,competency_score,status,assessment_date
d3e0f226df6865b28fb677548370f467,0,0,2024-06-20
290ff0feb094e836744d3e2403d993fd,86,1,2024-07-23
d2ed45a52bc0edfa11c2064e9edee8bf,0,0,2024-07-24
1a77befc3b608d6ed363567685f70e1e,0,0,2024-08-06
c4ca4238a0b923820dcc509a6f75849b,0,0,2024-07-18
c4ca4238a0b923820dcc509a6f75849b,0,0,2024-08-07
1bf2efbbe0c49b9f567c2e40f645279a,0,0,2024-07-31
1e747ddbea997a1b933aaf58a7953c3c,0,0,2024-08-13
502cbcfede9f1df5528af4204f33e0c8,0,0,2024-08-20
eaae5e04a259d09af85c108fe4d7dd0c,0,0,2024-08-26
1a77befc3b608d6ed363567685f70e1e,0,0,2024-08-29
1a77befc3b608d6ed363567685f70e1e,0,0,2024-08-29
1a77befc3b608d6ed363567685f70e1e,0,0,2024-08-29
f3507289cfdc8c9ae93f4098111a13f9,0,0,2024-08-30
8c6744c9d42ec2cb9e8885b54ff744d0,0,0,2024-11-12
