threshold,accuracy,precision,recall,f1_score,false_positives,false_negatives,true_positives,true_negatives
0.3,0.8601398601398601,0.3333333333333333,0.5384615384615384,0.4117647058823529,14,6,7,116
0.35,0.8601398601398601,0.3333333333333333,0.5384615384615384,0.4117647058823529,14,6,7,116
0.39999999999999997,0.8671328671328671,0.35,0.5384615384615384,0.42424242424242425,13,6,7,117
0.44999999999999996,0.8741258741258742,0.3684210526315789,0.5384615384615384,0.4375,12,6,7,118
0.49999999999999994,0.8741258741258742,0.3684210526315789,0.5384615384615384,0.4375,12,6,7,118
0.5499999999999999,0.8811188811188811,0.3888888888888889,0.5384615384615384,0.45161290322580644,11,6,7,119
0.5999999999999999,0.8881118881118881,0.4117647058823529,0.5384615384615384,0.4666666666666667,10,6,7,120
0.6499999999999999,0.8881118881118881,0.4117647058823529,0.5384615384615384,0.4666666666666667,10,6,7,120
0.7,0.8951048951048951,0.4375,0.5384615384615384,0.4827586206896552,9,6,7,121
0.7499999999999999,0.8951048951048951,0.4375,0.5384615384615384,0.4827586206896552,9,6,7,121
0.7999999999999998,0.8951048951048951,0.4375,0.5384615384615384,0.4827586206896552,9,6,7,121
0.8499999999999999,0.8951048951048951,0.4375,0.5384615384615384,0.4827586206896552,9,6,7,121
0.8999999999999999,0.8951048951048951,0.42857142857142855,0.46153846153846156,0.4444444444444444,8,7,6,122
